NAME,BEGIN,END,KWH_PERIOD
0480BR,01/07/2019,31/07/2019,1 855
0480BR,01/08/2019,31/08/2019,1 928
0480BR,01/09/2019,30/09/2019,1 732
0480BR,01/10/2019,31/10/2019,1 709
0480BR,01/11/2019,30/11/2019,1 996
0480BR,01/12/2019,31/12/2019,2 366
0480BR,01/01/2020,31/01/2020,2 359
0480BR,01/02/2020,29/02/2020,2 211
0480BR,01/03/2020,31/03/2020,2 277
0480BR,01/04/2020,30/04/2020,1 651
0480BR,01/05/2020,31/05/2020,1 723
0480BR,01/06/2020,30/06/2020,1 749
0480BR,01/07/2020,31/07/2020,1 863
0480BR,01/08/2020,31/08/2020,1 897
0480BR,01/09/2020,30/09/2020,1 792
0480BR,01/10/2020,31/10/2020,2 144
0480BR,01/11/2020,30/11/2020,2 298
0480BR,01/12/2020,31/12/2020,2 381
0480BR,01/01/2021,31/01/2021,2 374
0480BR,01/02/2021,28/02/2021,2 132
0480BR,01/03/2021,31/03/2021,2 339
0480BR,01/04/2021,30/04/2021,2 053
0480BR,01/05/2021,31/05/2021,1 650
0480BR,01/06/2021,30/06/2021,1 781
0480BR,01/07/2021,31/07/2021,1 795
0480BR,01/08/2021,31/08/2021,1 700
0480BR,01/09/2021,30/09/2021,1 616
0480BR,01/10/2021,31/10/2021,1 647
0480BR,01/11/2021,30/11/2021,1 852
0487BR,01/01/2019,31/01/2019,1 906
0487BR,01/02/2019,28/02/2019,1 670
0487BR,01/03/2019,31/03/2019,1 849
0487BR,01/04/2019,30/04/2019,1 820
0487BR,01/05/2019,31/05/2019,1 889
0487BR,01/06/2019,30/06/2019,1 908
0487BR,01/07/2019,31/07/2019,1 952
0487BR,01/08/2019,31/08/2019,1 995
0487BR,01/09/2019,30/09/2019,1 850
0487BR,01/10/2019,31/10/2019,1 876
0487BR,01/11/2019,30/11/2019,1 782
0487BR,01/12/2019,31/12/2019,1 854
0487BR,01/01/2020,31/01/2020,1 880
0487BR,01/02/2020,29/02/2020,1 711
0487BR,01/03/2020,31/03/2020,1 847
0487BR,01/04/2020,30/04/2020,1 828
0487BR,01/05/2020,31/05/2020,1 896
0487BR,01/06/2020,30/06/2020,1 894
0487BR,01/07/2020,31/07/2020,1 999
0487BR,01/08/2020,31/08/2020,2 014
0487BR,01/09/2020,30/09/2020,1 877
0487BR,01/10/2020,31/10/2020,1 871
0487BR,01/11/2020,30/11/2020,1 769
0487BR,01/12/2020,31/12/2020,1 750
0487BR,01/01/2021,31/01/2021,1 705
0487BR,01/02/2021,28/02/2021,1 552
0487BR,01/03/2021,31/03/2021,1 723
0487BR,01/04/2021,30/04/2021,1 675
0487BR,01/05/2021,31/05/2021,1 718
0487BR,01/06/2021,30/06/2021,1 788
0487BR,01/07/2021,31/07/2021,1 859
0487BR,01/08/2021,31/08/2021,1 816
0487BR,01/09/2021,30/09/2021,1 710
0487BR,01/10/2021,31/10/2021,1 713
0487BR,01/11/2021,30/11/2021,1 625
0495BR,01/01/2019,31/01/2019,716
0495BR,01/02/2019,28/02/2019,623
0495BR,01/03/2019,31/03/2019,673
0495BR,01/04/2019,30/04/2019,660
0495BR,01/05/2019,31/05/2019,684
0495BR,01/06/2019,30/06/2019,771
0495BR,01/07/2019,31/07/2019,764
0495BR,01/08/2019,31/08/2019,744
0495BR,01/09/2019,30/09/2019,674
0495BR,01/10/2019,31/10/2019,672
0495BR,01/11/2019,30/11/2019,700
0495BR,01/12/2019,31/12/2019,689
0495BR,01/01/2020,31/01/2020,702
0495BR,01/02/2020,29/02/2020,617
0495BR,01/03/2020,31/03/2020,679
0495BR,01/04/2020,30/04/2020,634
0495BR,01/05/2020,31/05/2020,657
0495BR,01/06/2020,30/06/2020,676
0495BR,01/07/2020,31/07/2020,553
0495BR,01/08/2020,31/08/2020,564
0495BR,01/09/2020,30/09/2020,804
0495BR,01/10/2020,31/10/2020,863
0495BR,01/11/2020,30/11/2020,893
0495BR,01/12/2020,31/12/2020,875
0495BR,01/01/2021,31/01/2021,858
0495BR,01/02/2021,28/02/2021,779
0495BR,01/03/2021,31/03/2021,878
0495BR,01/04/2021,30/04/2021,821
0495BR,01/05/2021,31/05/2021,790
0495BR,01/06/2021,30/06/2021,790
0495BR,01/07/2021,31/07/2021,818
0495BR,01/08/2021,31/08/2021,797
0495BR,01/09/2021,30/09/2021,766
0495BR,01/10/2021,31/10/2021,796
0495BR,01/11/2021,30/11/2021,755
0499BR,01/01/2019,31/01/2019,2 777
0499BR,01/02/2019,28/02/2019,2 513
0499BR,01/03/2019,31/03/2019,2 790
0499BR,01/04/2019,30/04/2019,2 709
0499BR,01/05/2019,31/05/2019,2 804
0499BR,01/06/2019,30/06/2019,2 867
0499BR,01/07/2019,31/07/2019,2 847
0499BR,01/08/2019,31/08/2019,2 601
0499BR,01/09/2019,30/09/2019,2 416
0499BR,01/10/2019,31/10/2019,2 449
0499BR,01/11/2019,30/11/2019,2 349
0499BR,01/12/2019,31/12/2019,2 423
0499BR,01/01/2020,31/01/2020,2 514
0499BR,01/02/2020,29/02/2020,2 481
0499BR,01/03/2020,31/03/2020,2 687
0499BR,01/04/2020,30/04/2020,2 634
0499BR,01/05/2020,31/05/2020,2 707
0499BR,01/06/2020,30/06/2020,2 659
0499BR,01/07/2020,31/07/2020,2 826
0499BR,01/08/2020,31/08/2020,2 843
0499BR,01/09/2020,30/09/2020,2 691
0499BR,01/10/2020,31/10/2020,2 759
0499BR,01/11/2020,30/11/2020,2 649
0499BR,01/12/2020,31/12/2020,2 727
0499BR,01/01/2021,31/01/2021,2 740
0499BR,01/02/2021,28/02/2021,2 485
0499BR,01/03/2021,31/03/2021,2 770
0499BR,01/04/2021,30/04/2021,2 678
0499BR,01/05/2021,31/05/2021,2 729
0499BR,01/06/2021,30/06/2021,2 737
0499BR,01/07/2021,31/07/2021,2 815
0499BR,01/08/2021,31/08/2021,2 785
0499BR,01/09/2021,30/09/2021,2 675
0499BR,01/10/2021,31/10/2021,2 733
0499BR,01/11/2021,30/11/2021,2 604
1001BR,01/01/2019,31/01/2019,2 332
1001BR,01/02/2019,28/02/2019,2 119
1001BR,01/03/2019,31/03/2019,2 356
1001BR,01/04/2019,30/04/2019,2 297
1001BR,01/05/2019,31/05/2019,2 383
1001BR,01/06/2019,30/06/2019,2 417
1001BR,01/07/2019,31/07/2019,2 461
1001BR,01/08/2019,31/08/2019,2 462
1001BR,01/09/2019,30/09/2019,2 422
1001BR,01/10/2019,31/10/2019,2 594
1001BR,01/11/2019,30/11/2019,2 492
1001BR,01/12/2019,31/12/2019,2 546
1001BR,01/01/2020,31/01/2020,2 554
1001BR,01/02/2020,29/02/2020,2 414
1001BR,01/03/2020,31/03/2020,2 570
1001BR,01/04/2020,30/04/2020,2 604
1001BR,01/05/2020,31/05/2020,2 691
1001BR,01/06/2020,30/06/2020,2 655
1001BR,01/07/2020,31/07/2020,2 823
1001BR,01/08/2020,31/08/2020,2 857
1001BR,01/09/2020,30/09/2020,2 753
1001BR,01/10/2020,31/10/2020,2 782
1001BR,01/11/2020,30/11/2020,2 597
1001BR,01/12/2020,31/12/2020,2 659
1001BR,01/01/2021,31/01/2021,2 646
1001BR,01/02/2021,28/02/2021,2 430
1001BR,01/03/2021,31/03/2021,2 719
1001BR,01/04/2021,30/04/2021,2 637
1001BR,01/05/2021,31/05/2021,2 674
1001BR,01/06/2021,30/06/2021,2 713
1001BR,01/07/2021,31/07/2021,2 778
1001BR,01/08/2021,31/08/2021,2 735
1001BR,01/09/2021,30/09/2021,2 647
1001BR,01/10/2021,31/10/2021,2 704
1001BR,01/11/2021,30/11/2021,2 772
1002BR,01/01/2019,31/01/2019,2 682
1002BR,01/02/2019,28/02/2019,2 435
1002BR,01/03/2019,31/03/2019,2 708
1002BR,01/04/2019,30/04/2019,2 627
1002BR,01/05/2019,31/05/2019,2 727
1002BR,01/06/2019,30/06/2019,2 733
1002BR,01/07/2019,31/07/2019,2 636
1002BR,01/08/2019,31/08/2019,2 576
1002BR,01/09/2019,30/09/2019,2 413
1002BR,01/10/2019,31/10/2019,2 482
1002BR,01/11/2019,30/11/2019,2 386
1002BR,01/12/2019,31/12/2019,2 446
1002BR,01/01/2020,31/01/2020,2 545
1002BR,01/02/2020,29/02/2020,2 525
1002BR,01/03/2020,31/03/2020,2 709
1002BR,01/04/2020,30/04/2020,2 615
1002BR,01/05/2020,31/05/2020,2 719
1002BR,01/06/2020,30/06/2020,2 683
1002BR,01/07/2020,31/07/2020,2 850
1002BR,01/08/2020,31/08/2020,2 912
1002BR,01/09/2020,30/09/2020,2 753
1002BR,01/10/2020,31/10/2020,2 812
1002BR,01/11/2020,30/11/2020,2 703
1002BR,01/12/2020,31/12/2020,2 766
1002BR,01/01/2021,31/01/2021,2 753
1002BR,01/02/2021,28/02/2021,2 517
1002BR,01/03/2021,31/03/2021,2 808
1002BR,01/04/2021,30/04/2021,2 727
1002BR,01/05/2021,31/05/2021,2 810
1002BR,01/06/2021,30/06/2021,2 837
1002BR,01/07/2021,31/07/2021,2 937
1002BR,01/08/2021,31/08/2021,2 871
1002BR,01/09/2021,30/09/2021,2 768
1002BR,01/10/2021,31/10/2021,2 808
